동사구	빈도	그룹ID	그룹명
비하다	7	UNCLASSIFIED	미분류
평가받다	7	UNCLASSIFIED	미분류
유발하다	7	UNCLASSIFIED	미분류
불응하다	7	UNCLASSIFIED	미분류
균등하다	7	UNCLASSIFIED	미분류
누락하다	7	UNCLASSIFIED	미분류
첨부되다	7	UNCLASSIFIED	미분류
고정시키다	7	UNCLASSIFIED	미분류
결제하다	7	UNCLASSIFIED	미분류
게재되다	7	UNCLASSIFIED	미분류
열람되다	7	UNCLASSIFIED	미분류
합당하다	7	UNCLASSIFIED	미분류
폐기하다	7	UNCLASSIFIED	미분류
이관하다	7	UNCLASSIFIED	미분류
부치다	6	UNCLASSIFIED	미분류
관리되다	6	UNCLASSIFIED	미분류
채택하다	6	UNCLASSIFIED	미분류
배제하다	6	UNCLASSIFIED	미분류
연체되다	6	UNCLASSIFIED	미분류
착수하다	6	UNCLASSIFIED	미분류
나타내다	6	UNCLASSIFIED	미분류
면하다	6	UNCLASSIFIED	미분류
양도되다	6	UNCLASSIFIED	미분류
어떠하다	6	UNCLASSIFIED	미분류
구매하다	6	UNCLASSIFIED	미분류
벗어나다	6	UNCLASSIFIED	미분류
걸치다	6	UNCLASSIFIED	미분류
활용되다	6	UNCLASSIFIED	미분류
수락하다	6	UNCLASSIFIED	미분류
허가하다	6	UNCLASSIFIED	미분류
예측하다	6	UNCLASSIFIED	미분류
선정되다	6	UNCLASSIFIED	미분류
통제하다	6	UNCLASSIFIED	미분류
충족시키다	6	UNCLASSIFIED	미분류
실현되다	6	UNCLASSIFIED	미분류
빠뜨리다	6	UNCLASSIFIED	미분류
고지하다	6	UNCLASSIFIED	미분류
보이다	6	UNCLASSIFIED	미분류
발송하다	6	UNCLASSIFIED	미분류
조작하다	6	UNCLASSIFIED	미분류
분류하다	6	UNCLASSIFIED	미분류
지나치다	6	UNCLASSIFIED	미분류
연속하다	6	UNCLASSIFIED	미분류
호선하다	6	UNCLASSIFIED	미분류
개의하다	6	UNCLASSIFIED	미분류
건의하다	6	UNCLASSIFIED	미분류
단순하다	6	UNCLASSIFIED	미분류
현존하다	6	UNCLASSIFIED	미분류
합병되다	6	UNCLASSIFIED	미분류
체결시키다	6	UNCLASSIFIED	미분류
예수하다	6	UNCLASSIFIED	미분류
일으키다	6	UNCLASSIFIED	미분류
응모하다	6	UNCLASSIFIED	미분류
약하다	6	UNCLASSIFIED	미분류
평균하다	6	UNCLASSIFIED	미분류
공유되다	6	UNCLASSIFIED	미분류
그치다	5	UNCLASSIFIED	미분류
구하다	5	UNCLASSIFIED	미분류
답변하다	5	UNCLASSIFIED	미분류
거주하다	5	UNCLASSIFIED	미분류
명확하다	5	UNCLASSIFIED	미분류
빠르다	5	UNCLASSIFIED	미분류
유의하다	5	UNCLASSIFIED	미분류
인식하다	5	UNCLASSIFIED	미분류
근거하다	5	UNCLASSIFIED	미분류
열거되다	5	UNCLASSIFIED	미분류
병과하다	5	UNCLASSIFIED	미분류
소지하다	5	UNCLASSIFIED	미분류
규명하다	5	UNCLASSIFIED	미분류
끝내다	5	UNCLASSIFIED	미분류
대위하다	5	UNCLASSIFIED	미분류
배정되다	5	UNCLASSIFIED	미분류
이용되다	5	UNCLASSIFIED	미분류
다하다	5	UNCLASSIFIED	미분류
불복하다	5	UNCLASSIFIED	미분류
상정하다	5	UNCLASSIFIED	미분류
원하다	5	UNCLASSIFIED	미분류
충당되다	5	UNCLASSIFIED	미분류
환산하다	5	UNCLASSIFIED	미분류
개설되다	5	UNCLASSIFIED	미분류
촉진하다	5	UNCLASSIFIED	미분류
담합하다	5	UNCLASSIFIED	미분류
전송하다	5	UNCLASSIFIED	미분류
가장하다	5	UNCLASSIFIED	미분류
규제하다	5	UNCLASSIFIED	미분류
퇴사하다	5	UNCLASSIFIED	미분류
소멸시키다	5	UNCLASSIFIED	미분류
구별하다	5	UNCLASSIFIED	미분류
계상되다	5	UNCLASSIFIED	미분류
과다하다	5	UNCLASSIFIED	미분류
밟다	5	UNCLASSIFIED	미분류
인계하다	5	UNCLASSIFIED	미분류
담보하다	5	UNCLASSIFIED	미분류
서다	5	UNCLASSIFIED	미분류
녹음하다	5	UNCLASSIFIED	미분류
파견되다	5	UNCLASSIFIED	미분류
분별하다	5	UNCLASSIFIED	미분류
상반되다	5	UNCLASSIFIED	미분류
특정되다	5	UNCLASSIFIED	미분류
참고하다	5	UNCLASSIFIED	미분류
낮추다	5	UNCLASSIFIED	미분류
극심하다	5	UNCLASSIFIED	미분류
수취하다	5	UNCLASSIFIED	미분류
심하다	5	UNCLASSIFIED	미분류
전입하다	5	UNCLASSIFIED	미분류
성립시키다	5	UNCLASSIFIED	미분류
산출되다	5	UNCLASSIFIED	미분류
분담하다	5	UNCLASSIFIED	미분류
종결시키다	5	UNCLASSIFIED	미분류
집합하다	5	UNCLASSIFIED	미분류
교체하다	5	UNCLASSIFIED	미분류
신뢰하다	5	UNCLASSIFIED	미분류
단축하다	5	UNCLASSIFIED	미분류
가입시키다	5	UNCLASSIFIED	미분류
소각하다	5	UNCLASSIFIED	미분류
추심되다	5	UNCLASSIFIED	미분류
인출하다	5	UNCLASSIFIED	미분류
수렴되다	5	UNCLASSIFIED	미분류
융자하다	5	UNCLASSIFIED	미분류
상환되다	5	UNCLASSIFIED	미분류
지휘하다	4	UNCLASSIFIED	미분류
이러하다	4	UNCLASSIFIED	미분류
제청하다	4	UNCLASSIFIED	미분류
미흡하다	4	UNCLASSIFIED	미분류
감찰하다	4	UNCLASSIFIED	미분류
승인되다	4	UNCLASSIFIED	미분류
보조하다	4	UNCLASSIFIED	미분류
위탁되다	4	UNCLASSIFIED	미분류
유보하다	4	UNCLASSIFIED	미분류
올바르다	4	UNCLASSIFIED	미분류
우수하다	4	UNCLASSIFIED	미분류
감소시키다	4	UNCLASSIFIED	미분류
수정하다	4	UNCLASSIFIED	미분류
운용되다	4	UNCLASSIFIED	미분류
참여시키다	4	UNCLASSIFIED	미분류
증명되다	4	UNCLASSIFIED	미분류
청취하다	4	UNCLASSIFIED	미분류
송부받다	4	UNCLASSIFIED	미분류
암시하다	4	UNCLASSIFIED	미분류
이행되다	4	UNCLASSIFIED	미분류
주관하다	4	UNCLASSIFIED	미분류
채용하다	4	UNCLASSIFIED	미분류
수익하다	4	UNCLASSIFIED	미분류
대비하다	4	UNCLASSIFIED	미분류
반영되다	4	UNCLASSIFIED	미분류
중복되다	4	UNCLASSIFIED	미분류
강조하다	4	UNCLASSIFIED	미분류
인지하다	4	UNCLASSIFIED	미분류
좋다	4	UNCLASSIFIED	미분류
누리다	4	UNCLASSIFIED	미분류
철회되다	4	UNCLASSIFIED	미분류
판명되다	4	UNCLASSIFIED	미분류
기명날인하다	4	UNCLASSIFIED	미분류
면책되다	4	UNCLASSIFIED	미분류
분류되다	4	UNCLASSIFIED	미분류
은닉하다	4	UNCLASSIFIED	미분류
지연시키다	4	UNCLASSIFIED	미분류
통보되다	4	UNCLASSIFIED	미분류
일괄하다	4	UNCLASSIFIED	미분류
불분명하다	4	UNCLASSIFIED	미분류
청구되다	4	UNCLASSIFIED	미분류
행사되다	4	UNCLASSIFIED	미분류
제시되다	4	UNCLASSIFIED	미분류
출자되다	4	UNCLASSIFIED	미분류
투자되다	4	UNCLASSIFIED	미분류
유래하다	4	UNCLASSIFIED	미분류
합치다	4	UNCLASSIFIED	미분류
처벌하다	4	UNCLASSIFIED	미분류
동등하다	4	UNCLASSIFIED	미분류
되돌리다	4	UNCLASSIFIED	미분류
증액하다	4	UNCLASSIFIED	미분류
숨기다	4	UNCLASSIFIED	미분류
배포되다	4	UNCLASSIFIED	미분류
감면하다	4	UNCLASSIFIED	미분류
만료하다	4	UNCLASSIFIED	미분류
유효하다	4	UNCLASSIFIED	미분류
조성되다	4	UNCLASSIFIED	미분류
고용되다	4	UNCLASSIFIED	미분류
부과되다	4	UNCLASSIFIED	미분류
점유하다	4	UNCLASSIFIED	미분류
착수되다	4	UNCLASSIFIED	미분류
결원되다	4	UNCLASSIFIED	미분류
보류하다	4	UNCLASSIFIED	미분류
회복하다	4	UNCLASSIFIED	미분류
경과되다	4	UNCLASSIFIED	미분류
추정되다	4	UNCLASSIFIED	미분류
촉탁하다	4	UNCLASSIFIED	미분류
부수되다	4	UNCLASSIFIED	미분류
존속되다	4	UNCLASSIFIED	미분류
포기하다	4	UNCLASSIFIED	미분류
급부하다	4	UNCLASSIFIED	미분류
청산하다	4	UNCLASSIFIED	미분류
절실하다	4	UNCLASSIFIED	미분류
매입시키다	4	UNCLASSIFIED	미분류
적시하다	4	UNCLASSIFIED	미분류
유통되다	4	UNCLASSIFIED	미분류
유인하다	4	UNCLASSIFIED	미분류
창업하다	4	UNCLASSIFIED	미분류
남용하다	4	UNCLASSIFIED	미분류
모집되다	4	UNCLASSIFIED	미분류
감소되다	4	UNCLASSIFIED	미분류
발하다	4	UNCLASSIFIED	미분류
도출하다	4	UNCLASSIFIED	미분류
지원되다	4	UNCLASSIFIED	미분류
열석하다	4	UNCLASSIFIED	미분류
수행되다	3	UNCLASSIFIED	미분류
위배되다	3	UNCLASSIFIED	미분류
보하다	3	UNCLASSIFIED	미분류
경유하다	3	UNCLASSIFIED	미분류
취하하다	3	UNCLASSIFIED	미분류
지체하다	3	UNCLASSIFIED	미분류
대부하다	3	UNCLASSIFIED	미분류
합의되다	3	UNCLASSIFIED	미분류
손상하다	3	UNCLASSIFIED	미분류
존중하다	3	UNCLASSIFIED	미분류
계획하다	3	UNCLASSIFIED	미분류
획득하다	3	UNCLASSIFIED	미분류
읽다	3	UNCLASSIFIED	미분류
길다	3	UNCLASSIFIED	미분류
배포하다	3	UNCLASSIFIED	미분류
향상시키다	3	UNCLASSIFIED	미분류
보급하다	3	UNCLASSIFIED	미분류
입력하다	3	UNCLASSIFIED	미분류
증언하다	3	UNCLASSIFIED	미분류
중복하다	3	UNCLASSIFIED	미분류
체불되다	3	UNCLASSIFIED	미분류
기다리다	3	UNCLASSIFIED	미분류
채용되다	3	UNCLASSIFIED	미분류
보완되다	3	UNCLASSIFIED	미분류
내리다	3	UNCLASSIFIED	미분류
기대하다	3	UNCLASSIFIED	미분류
환급받다	3	UNCLASSIFIED	미분류
표현하다	3	UNCLASSIFIED	미분류
쓰이다	3	UNCLASSIFIED	미분류
돌려주다	3	UNCLASSIFIED	미분류
입금하다	3	UNCLASSIFIED	미분류
수납하다	3	UNCLASSIFIED	미분류
증여받다	3	UNCLASSIFIED	미분류
발급되다	3	UNCLASSIFIED	미분류
연장되다	3	UNCLASSIFIED	미분류
문란하다	3	UNCLASSIFIED	미분류
바람직하다	3	UNCLASSIFIED	미분류
않다	3	UNCLASSIFIED	미분류
조장하다	3	UNCLASSIFIED	미분류
부가되다	3	UNCLASSIFIED	미분류
복사하다	3	UNCLASSIFIED	미분류
취급되다	3	UNCLASSIFIED	미분류
덧붙이다	3	UNCLASSIFIED	미분류
입사하다	3	UNCLASSIFIED	미분류
정산하다	3	UNCLASSIFIED	미분류
개입하다	3	UNCLASSIFIED	미분류
가하다	3	UNCLASSIFIED	미분류
배치되다	3	UNCLASSIFIED	미분류
연동되다	3	UNCLASSIFIED	미분류
탈락되다	3	UNCLASSIFIED	미분류
조력하다	3	UNCLASSIFIED	미분류
해촉되다	3	UNCLASSIFIED	미분류
포상하다	3	UNCLASSIFIED	미분류
통할하다	3	UNCLASSIFIED	미분류
주재하다	3	UNCLASSIFIED	미분류
지도하다	3	UNCLASSIFIED	미분류
통용되다	3	UNCLASSIFIED	미분류
확대하다	3	UNCLASSIFIED	미분류
배분되다	3	UNCLASSIFIED	미분류
우려되다	3	UNCLASSIFIED	미분류
선출되다	3	UNCLASSIFIED	미분류
전보하다	3	UNCLASSIFIED	미분류
줄이다	3	UNCLASSIFIED	미분류
형성하다	3	UNCLASSIFIED	미분류
일임받다	3	UNCLASSIFIED	미분류
발췌하다	3	UNCLASSIFIED	미분류
멸실되다	3	UNCLASSIFIED	미분류
감시하다	3	UNCLASSIFIED	미분류
실행하다	3	UNCLASSIFIED	미분류
게시되다	3	UNCLASSIFIED	미분류
입수하다	3	UNCLASSIFIED	미분류
교섭하다	3	UNCLASSIFIED	미분류
짜다	3	UNCLASSIFIED	미분류
꾸미다	3	UNCLASSIFIED	미분류
안정시키다	3	UNCLASSIFIED	미분류
공매도하다	3	UNCLASSIFIED	미분류
비치되다	3	UNCLASSIFIED	미분류
반환되다	3	UNCLASSIFIED	미분류
생산하다	3	UNCLASSIFIED	미분류
가중하다	3	UNCLASSIFIED	미분류
거부되다	3	UNCLASSIFIED	미분류
과장되다	3	UNCLASSIFIED	미분류
표현되다	3	UNCLASSIFIED	미분류
표기하다	3	UNCLASSIFIED	미분류
녹취하다	3	UNCLASSIFIED	미분류
녹취되다	3	UNCLASSIFIED	미분류
요약하다	3	UNCLASSIFIED	미분류
의뢰받다	3	UNCLASSIFIED	미분류
염려되다	3	UNCLASSIFIED	미분류
수립되다	3	UNCLASSIFIED	미분류
재개하다	3	UNCLASSIFIED	미분류
기산하다	3	UNCLASSIFIED	미분류
납입시키다	3	UNCLASSIFIED	미분류
징구하다	3	UNCLASSIFIED	미분류
다투다	3	UNCLASSIFIED	미분류
탁월하다	3	UNCLASSIFIED	미분류
인상하다	3	UNCLASSIFIED	미분류
송부되다	3	UNCLASSIFIED	미분류
존중되다	2	UNCLASSIFIED	미분류
퇴직되다	2	UNCLASSIFIED	미분류
출석시키다	2	UNCLASSIFIED	미분류
연구하다	2	UNCLASSIFIED	미분류
판정하다	2	UNCLASSIFIED	미분류
변상하다	2	UNCLASSIFIED	미분류
부적절하다	2	UNCLASSIFIED	미분류
심리하다	2	UNCLASSIFIED	미분류
잃다	2	UNCLASSIFIED	미분류
제안하다	2	UNCLASSIFIED	미분류
회수되다	2	UNCLASSIFIED	미분류
입원하다	2	UNCLASSIFIED	미분류
해결하다	2	UNCLASSIFIED	미분류
지원받다	2	UNCLASSIFIED	미분류
접근하다	2	UNCLASSIFIED	미분류
구비하다	2	UNCLASSIFIED	미분류
선발하다	2	UNCLASSIFIED	미분류
광범위하다	2	UNCLASSIFIED	미분류
친절하다	2	UNCLASSIFIED	미분류
번갈다	2	UNCLASSIFIED	미분류
수집되다	2	UNCLASSIFIED	미분류
과장하다	2	UNCLASSIFIED	미분류
깨끗하다	2	UNCLASSIFIED	미분류
찍다	2	UNCLASSIFIED	미분류
보도되다	2	UNCLASSIFIED	미분류
준비하다	2	UNCLASSIFIED	미분류
시정되다	2	UNCLASSIFIED	미분류
예측되다	2	UNCLASSIFIED	미분류
급박하다	2	UNCLASSIFIED	미분류
공평무사하다	2	UNCLASSIFIED	미분류
처신하다	2	UNCLASSIFIED	미분류
나오다	2	UNCLASSIFIED	미분류
자진하다	2	UNCLASSIFIED	미분류
교육하다	2	UNCLASSIFIED	미분류
공지하다	2	UNCLASSIFIED	미분류
기반하다	2	UNCLASSIFIED	미분류
측정하다	2	UNCLASSIFIED	미분류
증진하다	2	UNCLASSIFIED	미분류
훼손되다	2	UNCLASSIFIED	미분류
복권되다	2	UNCLASSIFIED	미분류
제휴되다	2	UNCLASSIFIED	미분류
인상되다	2	UNCLASSIFIED	미분류
저렴하다	2	UNCLASSIFIED	미분류
갱신되다	2	UNCLASSIFIED	미분류
위조되다	2	UNCLASSIFIED	미분류
중지되다	2	UNCLASSIFIED	미분류
지명되다	2	UNCLASSIFIED	미분류
꾀하다	2	UNCLASSIFIED	미분류
위협하다	2	UNCLASSIFIED	미분류
소급하다	2	UNCLASSIFIED	미분류
유출되다	2	UNCLASSIFIED	미분류
예정하다	2	UNCLASSIFIED	미분류
달하다	2	UNCLASSIFIED	미분류
열거하다	2	UNCLASSIFIED	미분류
간주되다	2	UNCLASSIFIED	미분류
추징되다	2	UNCLASSIFIED	미분류
우연하다	2	UNCLASSIFIED	미분류
한정되다	2	UNCLASSIFIED	미분류
상각하다	2	UNCLASSIFIED	미분류
휴업하다	2	UNCLASSIFIED	미분류
평온하다	2	UNCLASSIFIED	미분류
인하하다	2	UNCLASSIFIED	미분류
관계없다	2	UNCLASSIFIED	미분류
포괄하다	2	UNCLASSIFIED	미분류
삭감하다	2	UNCLASSIFIED	미분류
방조하다	2	UNCLASSIFIED	미분류
과하다	2	UNCLASSIFIED	미분류
병행하다	2	UNCLASSIFIED	미분류
발표되다	2	UNCLASSIFIED	미분류
합작하다	2	UNCLASSIFIED	미분류
보관되다	2	UNCLASSIFIED	미분류
규율하다	2	UNCLASSIFIED	미분류
증가시키다	2	UNCLASSIFIED	미분류
해촉하다	2	UNCLASSIFIED	미분류
가산하다	2	UNCLASSIFIED	미분류
초래되다	2	UNCLASSIFIED	미분류
저장되다	2	UNCLASSIFIED	미분류
충원하다	2	UNCLASSIFIED	미분류
식별하다	2	UNCLASSIFIED	미분류
가공하다	2	UNCLASSIFIED	미분류
맺다	2	UNCLASSIFIED	미분류
통지받다	2	UNCLASSIFIED	미분류
촬영하다	2	UNCLASSIFIED	미분류
녹화하다	2	UNCLASSIFIED	미분류
만들다	2	UNCLASSIFIED	미분류
헌신하다	2	UNCLASSIFIED	미분류
분장하다	2	UNCLASSIFIED	미분류
궐위되다	2	UNCLASSIFIED	미분류
반려하다	2	UNCLASSIFIED	미분류
처벌되다	2	UNCLASSIFIED	미분류
종속되다	2	UNCLASSIFIED	미분류
부대되다	2	UNCLASSIFIED	미분류
상주하다	2	UNCLASSIFIED	미분류
잠식되다	2	UNCLASSIFIED	미분류
위배하다	2	UNCLASSIFIED	미분류
증자하다	2	UNCLASSIFIED	미분류
정리하다	2	UNCLASSIFIED	미분류
예치되다	2	UNCLASSIFIED	미분류
인가하다	2	UNCLASSIFIED	미분류
유예받다	2	UNCLASSIFIED	미분류
짧다	2	UNCLASSIFIED	미분류
원상회복되다	2	UNCLASSIFIED	미분류
공모하다	2	UNCLASSIFIED	미분류
상계하다	2	UNCLASSIFIED	미분류
통일하다	2	UNCLASSIFIED	미분류
폐쇄되다	2	UNCLASSIFIED	미분류
예금하다	2	UNCLASSIFIED	미분류
결산하다	2	UNCLASSIFIED	미분류
취득시키다	2	UNCLASSIFIED	미분류
합계하다	2	UNCLASSIFIED	미분류
담다	2	UNCLASSIFIED	미분류
감리하다	2	UNCLASSIFIED	미분류
준수되다	2	UNCLASSIFIED	미분류
접속하다	2	UNCLASSIFIED	미분류
상이하다	2	UNCLASSIFIED	미분류
명기하다	2	UNCLASSIFIED	미분류
청약되다	2	UNCLASSIFIED	미분류
유포하다	2	UNCLASSIFIED	미분류
유발시키다	2	UNCLASSIFIED	미분류
결제되다	2	UNCLASSIFIED	미분류
명시되다	2	UNCLASSIFIED	미분류
부담시키다	2	UNCLASSIFIED	미분류
흡수하다	2	UNCLASSIFIED	미분류
명의개서되다	2	UNCLASSIFIED	미분류
대우하다	2	UNCLASSIFIED	미분류
인도되다	2	UNCLASSIFIED	미분류
제정되다	2	UNCLASSIFIED	미분류
결성되다	2	UNCLASSIFIED	미분류
더하다	2	UNCLASSIFIED	미분류
권장하다	2	UNCLASSIFIED	미분류
매매되다	2	UNCLASSIFIED	미분류
비례하다	2	UNCLASSIFIED	미분류
가입되다	2	UNCLASSIFIED	미분류
떨어지다	2	UNCLASSIFIED	미분류
순환하다	2	UNCLASSIFIED	미분류
노출되다	2	UNCLASSIFIED	미분류
드러나다	2	UNCLASSIFIED	미분류
증여하다	2	UNCLASSIFIED	미분류
정착되다	2	UNCLASSIFIED	미분류
계산되다	2	UNCLASSIFIED	미분류
방송되다	2	UNCLASSIFIED	미분류
판매되다	2	UNCLASSIFIED	미분류
보편타당하다	2	UNCLASSIFIED	미분류
집행되다	2	UNCLASSIFIED	미분류
지연되다	2	UNCLASSIFIED	미분류
수여하다	2	UNCLASSIFIED	미분류
응모되다	2	UNCLASSIFIED	미분류
문의하다	2	UNCLASSIFIED	미분류
감금하다	2	UNCLASSIFIED	미분류
내재되다	2	UNCLASSIFIED	미분류
송금하다	2	UNCLASSIFIED	미분류
완성하다	2	UNCLASSIFIED	미분류
실사하다	2	UNCLASSIFIED	미분류
흠결되다	2	UNCLASSIFIED	미분류
공제되다	2	UNCLASSIFIED	미분류
책정하다	2	UNCLASSIFIED	미분류
발의하다	2	UNCLASSIFIED	미분류
여신하다	2	UNCLASSIFIED	미분류
부속되다	2	UNCLASSIFIED	미분류
반송하다	2	UNCLASSIFIED	미분류
면직되다	1	UNCLASSIFIED	미분류
적격하다	1	UNCLASSIFIED	미분류
기대되다	1	UNCLASSIFIED	미분류
송달되다	1	UNCLASSIFIED	미분류
보충하다	1	UNCLASSIFIED	미분류
송달하다	1	UNCLASSIFIED	미분류
이익하다	1	UNCLASSIFIED	미분류
희망하다	1	UNCLASSIFIED	미분류
연체하다	1	UNCLASSIFIED	미분류
해제되다	1	UNCLASSIFIED	미분류
미비하다	1	UNCLASSIFIED	미분류
제안받다	1	UNCLASSIFIED	미분류
산입되다	1	UNCLASSIFIED	미분류
만나다	1	UNCLASSIFIED	미분류
끊다	1	UNCLASSIFIED	미분류
두절되다	1	UNCLASSIFIED	미분류
선포되다	1	UNCLASSIFIED	미분류
혼인하다	1	UNCLASSIFIED	미분류
의심받다	1	UNCLASSIFIED	미분류
제약하다	1	UNCLASSIFIED	미분류
간여하다	1	UNCLASSIFIED	미분류
입각하다	1	UNCLASSIFIED	미분류
완전하다	1	UNCLASSIFIED	미분류
연마하다	1	UNCLASSIFIED	미분류
견지하다	1	UNCLASSIFIED	미분류
겸손하다	1	UNCLASSIFIED	미분류
과중하다	1	UNCLASSIFIED	미분류
뜻하다	1	UNCLASSIFIED	미분류
야기되다	1	UNCLASSIFIED	미분류
탐색하다	1	UNCLASSIFIED	미분류
준비되다	1	UNCLASSIFIED	미분류
분장되다	1	UNCLASSIFIED	미분류
숙지하다	1	UNCLASSIFIED	미분류
설계되다	1	UNCLASSIFIED	미분류
추출하다	1	UNCLASSIFIED	미분류
투입되다	1	UNCLASSIFIED	미분류
뒷받침하다	1	UNCLASSIFIED	미분류
일치되다	1	UNCLASSIFIED	미분류
숙련되다	1	UNCLASSIFIED	미분류
지지하다	1	UNCLASSIFIED	미분류
검토되다	1	UNCLASSIFIED	미분류
간략하다	1	UNCLASSIFIED	미분류
애매모호하다	1	UNCLASSIFIED	미분류
편향되다	1	UNCLASSIFIED	미분류
괄목하다	1	UNCLASSIFIED	미분류
미진하다	1	UNCLASSIFIED	미분류
주선하다	1	UNCLASSIFIED	미분류
교체되다	1	UNCLASSIFIED	미분류
입력되다	1	UNCLASSIFIED	미분류
다양하다	1	UNCLASSIFIED	미분류
근속하다	1	UNCLASSIFIED	미분류
거두다	1	UNCLASSIFIED	미분류
지적되다	1	UNCLASSIFIED	미분류
도과하다	1	UNCLASSIFIED	미분류
맞추다	1	UNCLASSIFIED	미분류
경합하다	1	UNCLASSIFIED	미분류
들려주다	1	UNCLASSIFIED	미분류
구제받다	1	UNCLASSIFIED	미분류
알아내다	1	UNCLASSIFIED	미분류
이첩되다	1	UNCLASSIFIED	미분류
임차하다	1	UNCLASSIFIED	미분류
증진시키다	1	UNCLASSIFIED	미분류
편중되다	1	UNCLASSIFIED	미분류
지우다	1	UNCLASSIFIED	미분류
소비하다	1	UNCLASSIFIED	미분류
반영시키다	1	UNCLASSIFIED	미분류
조직하다	1	UNCLASSIFIED	미분류
활동하다	1	UNCLASSIFIED	미분류
더불다	1	UNCLASSIFIED	미분류
습득하다	1	UNCLASSIFIED	미분류
의미하다	1	UNCLASSIFIED	미분류
오해하다	1	UNCLASSIFIED	미분류
예시하다	1	UNCLASSIFIED	미분류
예시되다	1	UNCLASSIFIED	미분류
불충분하다	1	UNCLASSIFIED	미분류
부여받다	1	UNCLASSIFIED	미분류
족하다	1	UNCLASSIFIED	미분류
출입하다	1	UNCLASSIFIED	미분류
작다	1	UNCLASSIFIED	미분류
참석시키다	1	UNCLASSIFIED	미분류
회부되다	1	UNCLASSIFIED	미분류
개이다	1	UNCLASSIFIED	미분류
실현하다	1	UNCLASSIFIED	미분류
누설되다	1	UNCLASSIFIED	미분류
손하다	1	UNCLASSIFIED	미분류
경정하다	1	UNCLASSIFIED	미분류
용이하다	1	UNCLASSIFIED	미분류
결합하다	1	UNCLASSIFIED	미분류
수용되다	1	UNCLASSIFIED	미분류
승선하다	1	UNCLASSIFIED	미분류
이주하다	1	UNCLASSIFIED	미분류
출연되다	1	UNCLASSIFIED	미분류
출연받다	1	UNCLASSIFIED	미분류
약화되다	1	UNCLASSIFIED	미분류
휴대하다	1	UNCLASSIFIED	미분류
참작하다	1	UNCLASSIFIED	미분류
파기하다	1	UNCLASSIFIED	미분류
편리하다	1	UNCLASSIFIED	미분류
제거하다	1	UNCLASSIFIED	미분류
야기하다	1	UNCLASSIFIED	미분류
예비하다	1	UNCLASSIFIED	미분류
음모하다	1	UNCLASSIFIED	미분류
존속시키다	1	UNCLASSIFIED	미분류
발부받다	1	UNCLASSIFIED	미분류
공조하다	1	UNCLASSIFIED	미분류
왕래하다	1	UNCLASSIFIED	미분류
출항하다	1	UNCLASSIFIED	미분류
갹출하다	1	UNCLASSIFIED	미분류
종되다	1	UNCLASSIFIED	미분류
용인하다	1	UNCLASSIFIED	미분류
떠넘기다	1	UNCLASSIFIED	미분류
도입되다	1	UNCLASSIFIED	미분류
불량하다	1	UNCLASSIFIED	미분류
향하다	1	UNCLASSIFIED	미분류
상충하다	1	UNCLASSIFIED	미분류
전념하다	1	UNCLASSIFIED	미분류
오인되다	1	UNCLASSIFIED	미분류
인가되다	1	UNCLASSIFIED	미분류
인정받다	1	UNCLASSIFIED	미분류
불명확하다	1	UNCLASSIFIED	미분류
유출하다	1	UNCLASSIFIED	미분류
역산하다	1	UNCLASSIFIED	미분류
거절되다	1	UNCLASSIFIED	미분류
지속시키다	1	UNCLASSIFIED	미분류
사직하다	1	UNCLASSIFIED	미분류
중개되다	1	UNCLASSIFIED	미분류
대면하다	1	UNCLASSIFIED	미분류
고르다	1	UNCLASSIFIED	미분류
송수신하다	1	UNCLASSIFIED	미분류
저장하다	1	UNCLASSIFIED	미분류
소유되다	1	UNCLASSIFIED	미분류
연접하다	1	UNCLASSIFIED	미분류
약정되다	1	UNCLASSIFIED	미분류
일관되다	1	UNCLASSIFIED	미분류
풍수하다	1	UNCLASSIFIED	미분류
배제되다	1	UNCLASSIFIED	미분류
묵인하다	1	UNCLASSIFIED	미분류
유래되다	1	UNCLASSIFIED	미분류
교부되다	1	UNCLASSIFIED	미분류
고취하다	1	UNCLASSIFIED	미분류
정착하다	1	UNCLASSIFIED	미분류
집무하다	1	UNCLASSIFIED	미분류
구제하다	1	UNCLASSIFIED	미분류
부의하다	1	UNCLASSIFIED	미분류
제척되다	1	UNCLASSIFIED	미분류
의결되다	1	UNCLASSIFIED	미분류
이송되다	1	UNCLASSIFIED	미분류
송치하다	1	UNCLASSIFIED	미분류
방치하다	1	UNCLASSIFIED	미분류
교육되다	1	UNCLASSIFIED	미분류
자문하다	1	UNCLASSIFIED	미분류
달성되다	1	UNCLASSIFIED	미분류
송수신되다	1	UNCLASSIFIED	미분류
첨예하다	1	UNCLASSIFIED	미분류
대립하다	1	UNCLASSIFIED	미분류
복잡하다	1	UNCLASSIFIED	미분류
복귀하다	1	UNCLASSIFIED	미분류
수용하다	1	UNCLASSIFIED	미분류
동반하다	1	UNCLASSIFIED	미분류
촉진시키다	1	UNCLASSIFIED	미분류
연명하다	1	UNCLASSIFIED	미분류
도피시키다	1	UNCLASSIFIED	미분류
발전시키다	1	UNCLASSIFIED	미분류
개최되다	1	UNCLASSIFIED	미분류
우량하다	1	UNCLASSIFIED	미분류
배서하다	1	UNCLASSIFIED	미분류
줄어들다	1	UNCLASSIFIED	미분류
출장하다	1	UNCLASSIFIED	미분류
